,Duration,Total_Stops,Price,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Jounrey_date,Jounrey_month,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,170,0,3897,22,20,1,10,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,445,2,7662,5,50,13,15,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,325,1,6218,18,5,23,30,5,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,285,1,13302,16,50,21,35,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,145,0,3873,9,0,11,25,24,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,470,1,8625,11,25,19,15,27,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,795,1,8907,9,45,23,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,155,0,4174,20,20,22,55,18,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,135,0,4667,11,40,13,55,24,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,155,0,4804,17,15,19,50,24,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,155,2,14011,16,40,19,15,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,270,1,5830,8,45,13,15,15,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
12,1380,2,13381,20,15,19,15,6,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13,310,1,19495,14,10,19,20,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,920,1,6955,22,0,13,20,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,170,0,3943,4,0,6,50,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,175,0,4823,18,55,21,50,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,345,1,8238,21,50,3,35,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,355,1,7682,7,0,12,55,15,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,170,0,4668,9,45,12,35,18,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,135,0,3687,7,5,9,20,15,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
21,135,0,3687,7,5,9,20,18,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
22,805,2,13227,9,50,23,15,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,170,0,4423,4,0,6,50,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,625,1,5894,10,35,21,0,27,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25,315,1,4649,15,5,20,20,21,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,150,0,6245,14,15,16,45,18,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,665,1,9646,7,5,18,10,21,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,510,1,8714,6,45,15,15,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,165,0,3383,11,10,13,55,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,720,1,13062,9,0,21,0,21,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,170,0,3527,5,45,8,35,24,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,170,0,3943,4,0,6,50,27,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,135,0,4667,11,40,13,55,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,965,1,6117,19,0,11,5,15,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,170,0,4377,22,20,1,10,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,180,0,3943,21,15,0,15,18,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,170,0,4483,23,55,2,45,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,905,2,17345,8,50,23,55,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,135,0,7414,7,5,9,20,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
40,390,1,8073,19,0,1,30,5,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,65,1,12395,15,40,16,45,3,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
42,745,1,8366,9,25,21,50,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,200,1,5117,6,5,9,25,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,615,1,12524,8,45,19,0,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,630,1,7191,15,0,1,30,15,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46,135,0,3687,7,5,9,20,24,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
47,625,1,5894,10,35,21,0,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
48,170,0,5403,9,45,12,35,24,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
49,90,0,3625,13,55,15,25,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,800,2,10861,5,55,19,15,21,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
51,135,0,6297,13,20,15,35,3,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
52,440,1,10791,11,40,19,0,24,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53,300,1,6893,5,5,10,5,21,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
54,165,0,7240,9,50,12,35,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
55,170,0,3898,11,40,14,30,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,90,0,4049,6,25,7,55,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,135,0,3332,8,20,10,35,21,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
58,575,1,5894,11,25,21,0,27,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,600,1,10197,9,0,19,0,18,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
60,325,1,5636,2,0,7,25,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
61,555,1,9646,13,15,22,30,27,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
62,665,1,17057,2,15,13,20,3,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
63,800,2,13748,5,55,19,15,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
64,155,0,4880,20,45,23,20,21,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,145,0,3540,5,15,7,40,21,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
66,160,0,3257,5,55,8,35,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,0,1,6528,14,35,14,35,5,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,165,0,6121,6,10,8,55,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,430,1,11421,11,40,18,50,27,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
70,870,1,7574,4,45,19,15,27,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
71,380,2,11596,12,55,19,15,5,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
